"A Deolation Called Peace                             ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654565596i/45154547.jpg ";"novel   ";"A.    ";"Martine    ";"A Memory Called Empire          ";02;b
"The Ultimate Hitchhikers Guide to the Galaxy         ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg       ";"novel   ";"D.    ";"Adams      ";"Hitchhikers Guide to the Galaxy ";1;a
"Foundation                                           ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606208752i/2460584.jpg  ";"novel   ";"I.    ";"Asimov     ";"foundation                      ";1;a
"Foundation and Empire                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603047187i/55714000.jpg ";"novel   ";"I.    ";"Asimov     ";"foundation                      ";2;b
"Ready Player One                                     ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520795586l/39111894._SY475_.jpg         ";"novel   ";"E.    ";"Cline      ";"ready player                    ";1;a
"Ready Player Two                                     ";"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632079433l/58980633.jpg                 ";"novel   ";"E.    ";"Cline      ";"ready player                    ";2;b
"A Memory Called Empire                               ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1526486698i/37794149.jpg ";"novel   ";"A.    ";"Martine    ";"A Memory Called Empire          ";1;a
"Penguin Highway                                      ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553255949i/41825397.jpg ";"novel   ";"T.    ";"Morimi     ";"Penguin Highway                 ";1;a
"All You Need is Kill                                 ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568911292i/6255949.jpg  ";"novel   ";"H.    ";"Sakurazaka ";"All You Need is Kill            ";1;a
"Himmerige og Helvede                                 ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326663716i/13414172.jpg ";"novel   ";"J. K. ";"Stefénsson ";"Himmerige og Helvede            ";1;a
"The Fractured Void                                   ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602418924i/52729070.jpg ";"novel   ";"T.    ";"Pratt      ";"twilight imperium               ";1;a
"The Necropolis Empire                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629910783i/56348192.jpg ";"novel   ";"T.    ";"Pratt      ";"twilight imperium               ";2;b
"Life is Strange vol. 1: <br>Dust                     ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553572296i/39380461.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";1;a
"Life is Strange vol. 2: <br>Waves                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566875081i/45837003.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";2;b
"Life is Strange vol. 3: <br>Strings                  ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568157354l/53088084.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";3;c
"Life is Strange vol. 4: <br>Partners In Time: Tracks ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604326483i/55695664.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";4;d
"Life is Strange vol. 5: <br>Coming Home              ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624856408i/56278306.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";5;e
"Life is Strange vol. 6: <br>Settling Dust            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628297439i/58716376.jpg ";"graphic ";"E.    ";"Vieceli    ";"life is strange               ";6;f
"Mob Psycho 100 vol. 1                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385513076i/18986636.jpg ";"manga   ";"      ";"ONE        ";"mob psycho 100                  ";1;a
"your name. <br>vol. 1                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1495035001i/33232472.jpg ";"manga   ";"M.    ";"Shinkai    ";"your name.                      ";1;a
"your name. <br>vol. 2                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507744319i/35181845.jpg ";"manga   ";"M.    ";"Shinkai    ";"your name.                      ";2;b
"your name. <br>vol. 3                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519763441i/35838135.jpg ";"manga   ";"M.    ";"Shinkai    ";"your name.                      ";3;c
"Weathering With you <br>vol. 1                       ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585156527i/50361737.jpg ";"manga   ";"M.    ";"Shinkai    ";"weathering with you             ";1;a
"Weathering With you <br>vol. 2                       ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606114734i/53447986.jpg ";"manga   ";"M.    ";"Shinkai    ";"weathering with you             ";2;b
"Weathering With you <br>vol. 3                       ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602876878i/54673796.jpg ";"manga   ";"M.    ";"Shinkai    ";"weathering with you             ";3;c
"A Silent Voice <br>vol. 1                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432332490i/23128387.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";1;a
"A Silent Voice <br>vol. 2                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392581413i/20263218.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";2;b
"A Silent Voice <br>vol. 3                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407439488i/22800468.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";3;c
"A Silent Voice <br>vol. 4                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404184155i/22608495.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";4;d
"A Silent Voice <br>vol. 5                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407444723i/22884125.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";5;e
"A Silent Voice <br>vol. 6                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419799406i/23546982.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";6;f
"A Silent Voice <br>vol. 7                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424806763i/25011719.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";7;g
"Love is War <br>vol. 1                               ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513212409i/36100762.jpg ";"manga   ";"A.    ";"Akasaka    ";"love is war                     ";1;a
"Love is War <br>vol. 2                               ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517562638i/36495869.jpg ";"manga   ";"A.    ";"Akasaka    ";"love is war                     ";2;b
